furniture_image_id,img_filename,img_url,origin_filename,repimg_yn,furniture_id
1,테이블1-1.png,/furniture/images/테이블1-1.png,테이블1-1.png,Y,17
2,테이블1-2.png,/furniture/images/테이블1-2.png,테이블1-2.png,N,17
3,,,,N,17
4,,,,N,17
5,,,,N,17
6,테이블2-1.png,/furniture/images/테이블2-1.png,테이블2-1.png,Y,18
7,테이블2-2.png,/furniture/images/테이블2-2.png,테이블2-2.png,N,18
8,테이블2-3.png,/furniture/images/테이블2-3.png,테이블2-3.png,N,18
9,,,,N,18
10,,,,N,18
11,테이블3-1.png,/furniture/images/테이블3-1.png,테이블3-1.png,Y,19
12,테이블3-2.png,/furniture/images/테이블3-2.png,테이블3-2.png,N,19
13,테이블3-3.png,/furniture/images/테이블3-3.png,테이블3-3.png,N,19
14,,,,N,19
15,,,,N,19
16,테이블5-1.png,/furniture/images/테이블5-1.png,테이블5-1.png,Y,20
17,테이블5-2.png,/furniture/images/테이블5-2.png,테이블5-2.png,N,20
18,,,,N,20
19,,,,N,20
20,,,,N,20
21,테이블6-1.png,/furniture/images/테이블6-1.png,테이블6-1.png,Y,21
22,테이블6-2.png,/furniture/images/테이블6-2.png,테이블6-2.png,N,21
23,테이블6-3.png,/furniture/images/테이블6-3.png,테이블6-3.png,N,21
24,테이블6-4.png,/furniture/images/테이블6-4.png,테이블6-4.png,N,21
25,,,,N,21
26,테이블7-1.png,/furniture/images/테이블7-1.png,테이블7-1.png,Y,22
27,테이블7-2.png,/furniture/images/테이블7-2.png,테이블7-2.png,N,22
28,테이블7-3.png,/furniture/images/테이블7-3.png,테이블7-3.png,N,22
29,,,,N,22
30,,,,N,22
31,테이블8-1.png,/furniture/images/테이블8-1.png,테이블8-1.png,Y,23
32,테이블8-2.png,/furniture/images/테이블8-2.png,테이블8-2.png,N,23
33,테이블8-3.png,/furniture/images/테이블8-3.png,테이블8-3.png,N,23
34,테이블8-4.png,/furniture/images/테이블8-4.png,테이블8-4.png,N,23
35,,,,N,23
36,테이블9-1.png,/furniture/images/테이블9-1.png,테이블9-1.png,Y,24
37,테이블9-2.png,/furniture/images/테이블9-2.png,테이블9-2.png,N,24
38,테이블9-3.png,/furniture/images/테이블9-3.png,테이블9-3.png,N,24
39,테이블9-4.png,/furniture/images/테이블9-4.png,테이블9-4.png,N,24
40,테이블9-5.png,/furniture/images/테이블9-5.png,테이블9-5.png,N,24
